"DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Rpt Dist No","Part 1-2","Crm Cd","Crm Cd Desc","Mocodes","Vict Age","Vict Sex","Vict Descent","Premis Cd","Premis Desc","Weapon Used Cd","Weapon Desc","Status","Status Desc","Crm Cd 1","Crm Cd 2","Crm Cd 3","Crm Cd 4","LOCATION","Cross Street","LAT","LON"
"232104272","01/08/2023 12:00:00 AM","01/08/2023 12:00:00 AM","0600","21","Topanga","2134","2","354","THEFT OF IDENTITY","0922","47","F","O","501","SINGLE FAMILY DWELLING","","","IC","Invest Cont","354","","","","22100    COVELLO                      ST","","34.2074","-118.6081"
"231604916","01/30/2023 12:00:00 AM","01/09/2023 12:00:00 AM","1100","16","Foothill","1617","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","","0","","","101","STREET","","","IC","Invest Cont","420","","","","10600    SHERMAN GROVE                AV","","34.2615","-118.3196"
"230306112","02/03/2023 12:00:00 AM","02/01/2023 12:00:00 AM","0603","03","Southwest","0355","2","354","THEFT OF IDENTITY","0100 1822 0344","24","F","B","501","SINGLE FAMILY DWELLING","","","IC","Invest Cont","354","","","","1700 W  35TH                         PL","","34.0237","-118.3089"
"231705296","01/14/2023 12:00:00 AM","01/14/2023 12:00:00 AM","1600","17","Devonshire","1764","1","330","BURGLARY FROM VEHICLE","0344 1608 1822","37","M","H","108","PARKING LOT","","","IC","Invest Cont","330","","","","9300    TAMPA                        AV","","34.244","-118.5583"
"231504525","01/11/2023 12:00:00 AM","01/10/2023 12:00:00 AM","1425","15","N Hollywood","1538","1","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","1300 0344","53","F","W","507","CONDOMINIUM/TOWNHOUSE","","","IC","Invest Cont","331","","","","5700    FAIR                         AV","","34.174","-118.3746"
"230305041","01/22/2023 12:00:00 AM","01/20/2023 12:00:00 AM","1800","03","Southwest","0376","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","","0","","","101","STREET","","","IC","Invest Cont","420","","","","3900    BRIGHTON                     AV","","34.0155","-118.3013"
"230107913","03/01/2023 12:00:00 AM","03/01/2023 12:00:00 AM","1910","01","Central","0128","1","210","ROBBERY","0344 0305 0342 1822","21","M","B","123","PARKING UNDERGROUND/BUILDING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","210","","","","100 S  LOS ANGELES                  ST","","34.0515","-118.2424"
"232104456","01/13/2023 12:00:00 AM","01/05/2023 12:00:00 AM","1211","21","Topanga","2133","2","354","THEFT OF IDENTITY","1822","26","M","W","501","SINGLE FAMILY DWELLING","","","IC","Invest Cont","354","","","","22800    WYANDOTTE                    ST","","34.2026","-118.6234"
"231104123","01/04/2023 12:00:00 AM","01/04/2023 12:00:00 AM","1530","11","Northeast","1101","1","330","BURGLARY FROM VEHICLE","1300 1307 0344 1822","44","F","W","109","PARK/PLAYGROUND","","","IC","Invest Cont","330","","","","2800 E  OBSERVATORY                  RD","","34.1192","-118.3004"
"231405402","02/05/2023 12:00:00 AM","01/15/2023 12:00:00 AM","1430","14","Pacific","1488","2","668","EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)","1501","0","X","X","203","OTHER BUSINESS","","","IC","Invest Cont","668","","","","8800    BELLANCA                     AV","","33.9574","-118.3805"
"230904669","01/19/2023 12:00:00 AM","01/17/2023 12:00:00 AM","2003","09","Van Nuys","0981","2","624","BATTERY - SIMPLE ASSAULT","1501","52","M","B","507","CONDOMINIUM/TOWNHOUSE","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","624","","","","15100    DICKENS                      ST","","34.1518","-118.462"
"231105833","02/18/2023 12:00:00 AM","02/17/2023 12:00:00 AM","2300","11","Northeast","1132","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 0913 1814 0416","30","F","H","517","MISSIONS/SHELTERS","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","626","","","","3000    RIVERSIDE                    DR","","34.1119","-118.2664"
"230806139","02/19/2023 12:00:00 AM","01/28/2023 12:00:00 AM","2100","08","West LA","0895","2","860","BATTERY WITH SEXUAL CONTACT","0500 2024 1259","17","F","H","514","GROUP HOME","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","860","","","","3200    MOTOR                        AV","","34.031","-118.411"
"231506418","02/28/2023 12:00:00 AM","02/27/2023 12:00:00 AM","2145","15","N Hollywood","1595","1","510","VEHICLE - STOLEN","","0","","","104","DRIVEWAY","","","IC","Invest Cont","510","","","","3900    CARPENTER                    AV","","34.1406","-118.3918"
"230804449","01/13/2023 12:00:00 AM","01/13/2023 12:00:00 AM","1500","08","West LA","0811","2","624","BATTERY - SIMPLE ASSAULT","0431 0400","79","F","O","501","SINGLE FAMILY DWELLING","503","CAUSTIC CHEMICAL/POISON","IC","Invest Cont","624","","","","1100    TELLEM                       DR","","34.0558","-118.545"
"230705200","01/28/2023 12:00:00 AM","01/28/2023 12:00:00 AM","0845","07","Wilshire","0765","1","330","BURGLARY FROM VEHICLE","1300 1609 0346","44","M","H","108","PARKING LOT","","","IC","Invest Cont","330","","","","4500 W  PICO                         BL","","34.0485","-118.3334"
"230905139","02/01/2023 12:00:00 AM","01/31/2023 12:00:00 AM","1105","09","Van Nuys","0933","2","930","CRIMINAL THREATS - NO WEAPON DISPLAYED","0421","56","M","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","511","VERBAL THREAT","IC","Invest Cont","930","","","","14600    SYLVAN                       ST","","34.1847","-118.4509"
"231406557","03/04/2023 12:00:00 AM","03/04/2023 12:00:00 AM","0015","14","Pacific","1453","1","236","INTIMATE PARTNER - AGGRAVATED ASSAULT","2000 0913 0400 2033","26","M","W","501","SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","236","","","","4200    GLENCOE                      AV","","33.9886","-118.4416"
"230204712","01/18/2023 12:00:00 AM","01/18/2023 12:00:00 AM","0800","02","Rampart","0251","1","236","INTIMATE PARTNER - AGGRAVATED ASSAULT","0416 2000 1814 0913 0446 2004","38","F","W","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest","236","","","","2600    WILSHIRE                     BL","","34.0605","-118.2814"
"230605301","02/02/2023 12:00:00 AM","02/01/2023 12:00:00 AM","0640","06","Hollywood","0644","2","624","BATTERY - SIMPLE ASSAULT","2006 0446 0913 0429 1501 0416","32","F","H","517","MISSIONS/SHELTERS","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","624","","","","1400 N  GARDNER                      ST","","34.0962","-118.3529"
"231205260","01/20/2023 12:00:00 AM","01/20/2023 12:00:00 AM","2230","12","77th Street","1248","2","624","BATTERY - SIMPLE ASSAULT","0342 1822 2051 2049","30","M","H","801","MTA BUS","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","624","","","","FLORENCE","VERMONT","33.9746","-118.2916"
"230306451","02/15/2023 12:00:00 AM","01/04/2023 12:00:00 AM","0214","03","Southwest","0362","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 1822","22","X","X","708","CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE)","","","IC","Invest Cont","740","","","","4100 W  MARTIN LUTHER KING JR        BL","","34.0162","-118.3436"
"230107038","02/15/2023 12:00:00 AM","02/15/2023 12:00:00 AM","0530","01","Central","0162","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 1814 0416 0913 1206","40","M","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","626","","","","500 W  7TH                          ST","","34.0466","-118.2555"
"231604773","01/26/2023 12:00:00 AM","01/24/2023 12:00:00 AM","1700","16","Foothill","1606","1","330","BURGLARY FROM VEHICLE","1307 1302 0344","55","M","H","101","STREET","","","IC","Invest Cont","330","","","","OSBORNE                      ST","OSBORNE                      PL","34.2766","-118.3783"
"232005660","02/12/2023 12:00:00 AM","02/10/2023 12:00:00 AM","1040","20","Olympic","2014","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","0400 0444 0356 1309 2000 1814 0913","28","F","B","501","SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","626","","","","100 S  NORMANDIE                    AV","","34.0726","-118.3029"
"230204062","01/02/2023 12:00:00 AM","01/02/2023 12:00:00 AM","0430","02","Rampart","0248","2","354","THEFT OF IDENTITY","0100 1822 0930 0922","32","F","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","","","IC","Invest Cont","354","","","","300    LOMA                         DR","","34.0599","-118.2656"
"230605699","01/30/2023 12:00:00 AM","01/27/2023 12:00:00 AM","2330","06","Hollywood","0646","1","330","BURGLARY FROM VEHICLE","1822 1300 0344 0329 1609","46","M","W","108","PARKING LOT","","","IC","Invest Cont","330","","","","1500    SCHRADER                     BL","","34.098","-118.3324"
"231005432","02/07/2023 12:00:00 AM","02/07/2023 12:00:00 AM","0100","10","West Valley","1039","1","510","VEHICLE - STOLEN","","0","","","101","STREET","","","IC","Invest Cont","510","","","","16100    VANOWEN                      ST","","34.1939","-118.4837"
"230905785","02/16/2023 12:00:00 AM","01/11/2023 12:00:00 AM","1312","09","Van Nuys","0904","1","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0325","21","M","W","404","DEPARTMENT STORE","","","IC","Invest Cont","442","","","","14900    RAYMER                       ST","","34.2131","-118.4584"
"231406540","03/03/2023 12:00:00 AM","03/02/2023 12:00:00 AM","1405","14","Pacific","1469","2","668","EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)","0344","29","M","H","501","SINGLE FAMILY DWELLING","","","IC","Invest Cont","668","","","","5700 W  CENTINELA                    AV","","33.9764","-118.381"
"230204930","01/23/2023 12:00:00 AM","01/23/2023 12:00:00 AM","0115","02","Rampart","0299","2","624","BATTERY - SIMPLE ASSAULT","0602 0913 0554 0416","32","F","H","501","SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","624","","","","1600 S  UNION                        AV","","34.0416","-118.2791"
"230104606","01/09/2023 12:00:00 AM","01/07/2023 12:00:00 AM","1900","01","Central","0129","1","330","BURGLARY FROM VEHICLE","0344 0352 1300 1307 1609 1822","34","M","O","101","STREET","","","IC","Invest Cont","330","","","","VIGNES","JACKSON","34.0511","-118.2334"
"230306299","02/14/2023 12:00:00 AM","02/14/2023 12:00:00 AM","0510","03","Southwest","0337","2","930","CRIMINAL THREATS - NO WEAPON DISPLAYED","0432 0913 1218 0421","33","F","H","101","STREET","511","VERBAL THREAT","IC","Invest Cont","930","","","","2900 S  HOBART                       BL","","34.0291","-118.3078"
"230605224","01/17/2023 12:00:00 AM","01/15/2023 12:00:00 AM","1800","06","Hollywood","0647","1","440","THEFT PLAIN - PETTY ($950 & UNDER)","1822 0344 2032","24","F","W","717","HEALTH SPA/GYM","","","IC","Invest Cont","440","","","","1500    VINE                         ST","","34.098","-118.3266"
"231604844","01/28/2023 12:00:00 AM","01/15/2023 12:00:00 AM","1200","16","Foothill","1612","1","310","BURGLARY","1605 0344","79","M","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","","","IC","Invest Cont","310","","","","11000    NORRIS                       AV","","34.2704","-118.4162"
"231405510","01/16/2023 12:00:00 AM","01/16/2023 12:00:00 AM","0955","14","Pacific","1414","1","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","0344 1300","39","F","B","501","SINGLE FAMILY DWELLING","","","IC","Invest Cont","331","","","","900    7TH                          AV","","33.9968","-118.4663"
"230806468","02/27/2023 12:00:00 AM","02/27/2023 12:00:00 AM","0615","08","West LA","0884","1","510","VEHICLE - STOLEN","","0","","","101","STREET","","","IC","Invest Cont","510","","","","10900    AYRES                        AV","","34.0389","-118.4286"
"231405405","02/06/2023 12:00:00 AM","02/06/2023 12:00:00 AM","0317","14","Pacific","1403","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 1609","0","X","X","403","DRUG STORE","","","IC","Invest Cont","740","","","","11200    NATIONAL                     BL","","34.0301","-118.4272"
"230606660","03/04/2023 12:00:00 AM","03/03/2023 12:00:00 AM","1955","06","Hollywood","0656","1","330","BURGLARY FROM VEHICLE","1822 1300 1309 1307 1601 1609 0329 0344","40","M","B","101","STREET","","","IC","Invest Cont","330","","","","6500    SANTA MONICA                 BL","","34.0907","-118.331"
"230107312","02/19/2023 12:00:00 AM","02/18/2023 12:00:00 AM","0130","01","Central","0164","1","352","PICKPOCKET","1234 1237 1210 0344","25","F","B","733","BAR/SPORTS BAR (OPEN DAY & NIGHT)","","","IC","Invest Cont","352","","","","100 E  6TH                          ST","","34.0453","-118.2499"
"231506549","03/02/2023 12:00:00 AM","03/02/2023 12:00:00 AM","2240","15","N Hollywood","1583","1","210","ROBBERY","0113 0906","28","M","W","102","SIDEWALK","113","SIMULATED GUN","IC","Invest Cont","210","","","","WOODBRIDGE","LAUREL CANYON                BL","34.1485","-118.3965"
"230205910","02/10/2023 12:00:00 AM","02/10/2023 12:00:00 AM","1500","02","Rampart","0289","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 0913 1813 0400 0444 0401","43","F","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest","626","","","","1500 W  PICO                         BL","","34.0453","-118.2738"
"230806399","02/14/2023 12:00:00 AM","02/12/2023 12:00:00 AM","1330","08","West LA","0823","1","352","PICKPOCKET","2032 1822 0344","41","F","W","210","RESTAURANT/FAST FOOD","","","IC","Invest Cont","352","","","","800    SWARTHMORE                   AV","","34.0447","-118.5265"
"231906144","02/21/2023 12:00:00 AM","01/18/2023 12:00:00 AM","0805","19","Mission","1907","2","354","THEFT OF IDENTITY","0377","18","M","W","501","SINGLE FAMILY DWELLING","","","IC","Invest Cont","354","","","","12800    CAPE COTTAGE                 LN","","34.3031","-118.4189"
"230704454","01/11/2023 12:00:00 AM","01/11/2023 12:00:00 AM","1540","07","Wilshire","0715","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","0325 1309","22","X","X","203","OTHER BUSINESS","","","IC","Invest Cont","341","","","","7100    BEVERLY                      BL","","34.0782","-118.3463"
"230700563","02/14/2023 12:00:00 AM","02/14/2023 12:00:00 AM","0020","07","Wilshire","0702","1","310","BURGLARY","0329 0321 0325 1402","0","X","X","203","OTHER BUSINESS","500","UNKNOWN WEAPON/OTHER WEAPON","AA","Adult Arrest","310","998","","","7500    MELROSE                      AV","","34.0837","-118.3533"
"231105662","02/13/2023 12:00:00 AM","02/12/2023 12:00:00 AM","0200","11","Northeast","1162","1","310","BURGLARY","0344 1822","0","X","X","203","OTHER BUSINESS","","","IC","Invest Cont","310","","","","1300    LYMAN                        PL","","34.0957","-118.2885"
"231504528","01/11/2023 12:00:00 AM","01/10/2023 12:00:00 AM","2120","15","N Hollywood","1548","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","0344 1822","37","M","O","717","HEALTH SPA/GYM","","","IC","Invest Cont","341","","","","5300    LANKERSHIM                   BL","","34.167","-118.3759"
"232005284","01/30/2023 12:00:00 AM","01/29/2023 12:00:00 AM","2000","20","Olympic","2024","1","330","BURGLARY FROM VEHICLE","1300 1822 0344 0329 1609","24","M","W","101","STREET","","","IC","Invest Cont","330","","","","600 S  HARVARD                      BL","","34.0634","-118.3041"
"231705564","02/10/2023 12:00:00 AM","01/15/2023 12:00:00 AM","0001","17","Devonshire","1707","2","354","THEFT OF IDENTITY","1822 0377","31","M","W","501","SINGLE FAMILY DWELLING","","","IC","Invest Cont","354","","","","17100    BRAXTON                      ST","","34.3001","-118.507"
"230205022","01/24/2023 12:00:00 AM","01/24/2023 12:00:00 AM","1612","02","Rampart","0205","1","343","SHOPLIFTING-GRAND THEFT ($950.01 & OVER)","0325 0378 0342 0104 1822","0","X","X","404","DEPARTMENT STORE","","","IC","Invest Cont","343","","","","600 N  DILLON                       ST","","34.0786","-118.2788"
"231004762","01/19/2023 12:00:00 AM","01/19/2023 12:00:00 AM","2310","10","West Valley","1061","1","440","THEFT PLAIN - PETTY ($950 & UNDER)","0913 0344","37","M","W","101","STREET","","","IC","Invest Cont","440","","","","VENTURA                      BL","SHIRLEY                      AV","34.1728","-118.5578"
"230605414","02/03/2023 12:00:00 AM","01/29/2023 12:00:00 AM","2200","06","Hollywood","0668","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","","0","","","101","STREET","","","IC","Invest Cont","420","","","","5600    LA MIRADA                    AV","","34.0938","-118.3109"
"230104353","01/05/2023 12:00:00 AM","01/05/2023 12:00:00 AM","1535","01","Central","0185","2","624","BATTERY - SIMPLE ASSAULT","0400 0416 1822","44","M","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","624","","","","900 S  BROADWAY","","34.0423","-118.2561"
"230305369","01/28/2023 12:00:00 AM","01/28/2023 12:00:00 AM","1252","03","Southwest","0353","1","440","THEFT PLAIN - PETTY ($950 & UNDER)","1822 0344 0394","54","F","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","","","IC","Invest Cont","440","","","","3500    FARMDALE                     AV","","34.0239","-118.3461"
"230106464","02/01/2023 12:00:00 AM","01/31/2023 12:00:00 AM","2322","01","Central","0133","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 1822 1214","42","M","H","602","BANK","","","IC","Invest Cont","740","","","","200 S  BROADWAY","","34.0524","-118.2467"
"232105311","02/04/2023 12:00:00 AM","01/25/2023 12:00:00 AM","1115","21","Topanga","2189","1","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0325","35","M","X","404","DEPARTMENT STORE","","","IC","Invest Cont","442","","","","20800    VENTURA                      BL","","34.1665","-118.5859"
"231105642","02/12/2023 12:00:00 AM","02/10/2023 12:00:00 AM","1930","11","Northeast","1129","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","0344 0321 1202 1606","68","M","O","501","SINGLE FAMILY DWELLING","","","IC","Invest Cont","420","","","","800    CHESTNUT                     AV","","34.1176","-118.1714"
"231304891","01/18/2023 12:00:00 AM","01/13/2023 12:00:00 AM","0100","13","Newton","1364","1","330","BURGLARY FROM VEHICLE","0344 0358 1307 1822","55","F","B","101","STREET","500","UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont","330","","","","4900 S  CENTRAL                      AV","","33.9989","-118.2565"
"231404984","01/18/2023 12:00:00 AM","01/18/2023 12:00:00 AM","1800","14","Pacific","1455","1","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","0344 1300","47","F","O","501","SINGLE FAMILY DWELLING","","","IC","Invest Cont","331","","","","4300    KENYON                       AV","","33.992","-118.4284"
"231204732","01/13/2023 12:00:00 AM","01/13/2023 12:00:00 AM","1025","12","77th Street","1259","2","930","CRIMINAL THREATS - NO WEAPON DISPLAYED","0334 0443 0216","38","M","H","102","SIDEWALK","511","VERBAL THREAT","IC","Invest Cont","930","","","","7800    TOWNE                        AV","","33.9688","-118.2674"
"230904494","01/14/2023 12:00:00 AM","01/13/2023 12:00:00 AM","2200","09","Van Nuys","0935","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 0446","39","F","O","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","626","","","","14200    CALVERT                      ST","","34.1817","-118.4422"
"230504940","01/26/2023 12:00:00 AM","01/25/2023 12:00:00 AM","1700","05","Harbor","0519","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","","0","","","101","STREET","","","IC","Invest Cont","420","","","","1600    PACIFIC COAST                WY","","33.7974","-118.2372"
"231105945","02/20/2023 12:00:00 AM","02/20/2023 12:00:00 AM","0830","11","Northeast","1172","1","510","VEHICLE - STOLEN","","0","","","101","STREET","","","IC","Invest Cont","510","","","","1400    WATERLOO                     ST","","34.0837","-118.2642"
"231206428","02/09/2023 12:00:00 AM","02/09/2023 12:00:00 AM","0050","12","77th Street","1205","2","903","CONTEMPT OF COURT","2038 0561","40","F","H","501","SINGLE FAMILY DWELLING","","","IC","Invest Cont","903","","","","1100 W  50TH                         ST","","33.9978","-118.2938"
"232004718","01/19/2023 12:00:00 AM","01/19/2023 12:00:00 AM","1140","20","Olympic","2033","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","0913 2000 0400 1814 0444 1300","36","M","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","626","","","","800 S  OXFORD                       AV","","34.0577","-118.3078"
"230106975","02/13/2023 12:00:00 AM","02/10/2023 12:00:00 AM","2300","01","Central","0182","1","330","BURGLARY FROM VEHICLE","1609 0344 1300 1822","40","M","W","122","VEHICLE, PASSENGER/TRUCK","","","IC","Invest Cont","330","","","","700 W  OLYMPIC                      BL","","34.0444","-118.2628"
"230605345","01/31/2023 12:00:00 AM","01/31/2023 12:00:00 AM","1115","06","Hollywood","0639","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","1822 1300 0329","24","M","W","707","GARAGE/CARPORT","","","IC","Invest Cont","740","","","","1700 N  HARVARD                      BL","","34.1018","-118.305"
"231207927","03/05/2023 12:00:00 AM","03/04/2023 12:00:00 AM","0800","12","77th Street","1242","1","330","BURGLARY FROM VEHICLE","","70","F","B","101","STREET","","","IC","Invest Cont","330","","","","6000    6TH                          AV","","33.9855","-118.3235"
"230105771","01/27/2023 12:00:00 AM","01/25/2023 12:00:00 AM","1700","01","Central","0164","1","310","BURGLARY","0344 1822","31","F","W","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","","","IC","Invest Cont","310","","","","600 S  SPRING                       ST","","34.046","-118.251"
"231804829","01/16/2023 12:00:00 AM","01/13/2023 12:00:00 AM","1800","18","Southeast","1846","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","","0","","","101","STREET","","","IC","Invest Cont","420","","","","1200 E  IMPERIAL                     HY","","33.9323","-118.2502"
"230706742","03/02/2023 12:00:00 AM","03/02/2023 12:00:00 AM","0625","07","Wilshire","0752","2","354","THEFT OF IDENTITY","1822 0344","36","M","B","501","SINGLE FAMILY DWELLING","","","IC","Invest Cont","354","","","","1200 S  ALFRED                       ST","","34.0551","-118.375"
"230805181","01/28/2023 12:00:00 AM","01/27/2023 12:00:00 AM","1154","08","West LA","0839","1","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0352 1822 0325","0","M","O","203","OTHER BUSINESS","","","IC","Invest Cont","442","","","","10200    SANTA MONICA                 BL","","34.0611","-118.4184"
"231004199","01/06/2023 12:00:00 AM","01/06/2023 12:00:00 AM","0500","10","West Valley","1008","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","","0","","","101","STREET","","","IC","Invest Cont","420","","","","15900    BLYTHE                       ST","","34.2148","-118.4793"
"231205359","01/20/2023 12:00:00 AM","01/01/2023 12:00:00 AM","0843","12","77th Street","1283","2","354","THEFT OF IDENTITY","0100 0930 1822","40","F","B","501","SINGLE FAMILY DWELLING","","","IC","Invest Cont","354","","","","9400 S  VAN NESS                     AV","","33.9512","-118.3177"
"230506288","03/03/2023 12:00:00 AM","03/02/2023 12:00:00 AM","1740","05","Harbor","0526","1","510","VEHICLE - STOLEN","","0","","","101","STREET","","","IC","Invest Cont","510","","","","600    ISLAND                       AV","","33.7769","-118.2662"
"231207251","02/22/2023 12:00:00 AM","02/22/2023 12:00:00 AM","2135","12","77th Street","1265","1","210","ROBBERY","1822 0325 0344 0400 0416 0444 1309 0945","0","X","X","203","OTHER BUSINESS","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","210","","","","8100 S  VERMONT                      AV","","33.9611","-118.2917"
"232006028","02/16/2023 12:00:00 AM","02/13/2023 12:00:00 AM","1800","20","Olympic","2004","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 1822","42","F","H","122","VEHICLE, PASSENGER/TRUCK","","","IC","Invest Cont","740","","","","500 N  SERRANO                      AV","","34.0799","-118.3069"
"230706131","02/15/2023 12:00:00 AM","02/15/2023 12:00:00 AM","1900","07","Wilshire","0782","2","624","BATTERY - SIMPLE ASSAULT","0400 0416","50","F","W","701","HOSPITAL","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest","624","","","","6000    CADILLAC                     AV","","34.0374","-118.3742"
"231705589","02/06/2023 12:00:00 AM","02/06/2023 12:00:00 AM","0605","17","Devonshire","1722","2","354","THEFT OF IDENTITY","1822 0377","42","M","W","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","","","IC","Invest Cont","354","","","","21600    DEVONSHIRE                   ST","","34.2607","-118.6025"
"231005384","02/05/2023 12:00:00 AM","02/03/2023 12:00:00 AM","1700","10","West Valley","1027","1","330","BURGLARY FROM VEHICLE","1414 1300 0358 1822 0344","27","M","W","123","PARKING UNDERGROUND/BUILDING","","","IC","Invest Cont","330","","","","6800    LOUISE                       AV","","34.1939","-118.5098"
"230504854","01/23/2023 12:00:00 AM","01/23/2023 12:00:00 AM","1400","05","Harbor","0507","2","624","BATTERY - SIMPLE ASSAULT","0416 0913 1810","45","M","W","501","SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","624","","","","1500 W  223RD                        ST","","33.8245","-118.3038"
"230806421","02/24/2023 12:00:00 AM","02/24/2023 12:00:00 AM","1811","08","West LA","0881","1","310","BURGLARY","0358 1609 0321 1822","37","M","A","501","SINGLE FAMILY DWELLING","","","IC","Invest Cont","310","","","","1800    ARMACOST                     AV","","34.0377","-118.4566"
"230106781","02/11/2023 12:00:00 AM","02/10/2023 12:00:00 AM","0013","01","Central","0153","2","354","THEFT OF IDENTITY","0922","41","M","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","","","IC","Invest Cont","354","","","","300 W  5TH                          ST","","34.0481","-118.2507"
"231304703","01/14/2023 12:00:00 AM","01/14/2023 12:00:00 AM","0300","13","Newton","1317","1","330","BURGLARY FROM VEHICLE","0344 1307","23","F","O","101","STREET","","","IC","Invest Cont","330","","","","1600    LONG BEACH                   AV","","34.0233","-118.2424"
"232004955","01/27/2023 12:00:00 AM","01/27/2023 12:00:00 AM","1010","20","Olympic","2029","2","624","BATTERY - SIMPLE ASSAULT","0400 0448 0417 1266 2004 1822","30","M","H","905","MTA - RED LINE - WILSHIRE/VERMONT","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","624","","","","3100    WILSHIRE                     BL","","34.0652","-118.2878"
